"epoch","0130_1147 - train/loss","0130_1147 - train/loss__MIN","0130_1147 - train/loss__MAX","0130_1147 - _step","0130_1147 - _step__MIN","0130_1147 - _step__MAX"
"0","1.8785001638531684","1.8785001638531684","1.8785001638531684","99","99","99"
"1","1.1031866633147","1.1031866633147","1.1031866633147","199","199","199"
"2","0.9675524301826954","0.9675524301826954","0.9675524301826954","299","299","299"
"3","0.858068857640028","0.858068857640028","0.858068857640028","399","399","399"
"4","0.8498083665966988","0.8498083665966988","0.8498083665966988","499","499","499"
"5","0.8584970735013485","0.8584970735013485","0.8584970735013485","599","599","599"
"6","0.7767943444848061","0.7767943444848061","0.7767943444848061","699","699","699"
"7","0.7993722978234291","0.7993722978234291","0.7993722978234291","799","799","799"
"8","0.7336033780127764","0.7336033780127764","0.7336033780127764","899","899","899"
"9","0.7572138515859842","0.7572138515859842","0.7572138515859842","999","999","999"
"10","0.7264022399485112","0.7264022399485112","0.7264022399485112","1099","1099","1099"
"11","0.7028537144511938","0.7028537144511938","0.7028537144511938","1199","1199","1199"
"12","0.7151133773475885","0.7151133773475885","0.7151133773475885","1299","1299","1299"
"13","0.6939427096769214","0.6939427096769214","0.6939427096769214","1399","1399","1399"
"14","0.6568318369239569","0.6568318369239569","0.6568318369239569","1499","1499","1499"
"15","0.6400020099431276","0.6400020099431276","0.6400020099431276","1599","1599","1599"
"16","0.6047823442518712","0.6047823442518712","0.6047823442518712","1699","1699","1699"
"17","0.5633484698832035","0.5633484698832035","0.5633484698832035","1799","1799","1799"
"18","0.5957391909882426","0.5957391909882426","0.5957391909882426","1899","1899","1899"
"19","0.5549348556995392","0.5549348556995392","0.5549348556995392","1999","1999","1999"
"20","0.5617569209262728","0.5617569209262728","0.5617569209262728","2099","2099","2099"
"21","0.510968971569091","0.510968971569091","0.510968971569091","2199","2199","2199"
"22","0.4982144612632692","0.4982144612632692","0.4982144612632692","2299","2299","2299"
"23","0.4435130625963211","0.4435130625963211","0.4435130625963211","2399","2399","2399"
"24","0.44827441204339263","0.44827441204339263","0.44827441204339263","2499","2499","2499"
"25","0.46957922354340553","0.46957922354340553","0.46957922354340553","2599","2599","2599"
"26","0.42132500544190404","0.42132500544190404","0.42132500544190404","2699","2699","2699"
"27","0.41303161170333624","0.41303161170333624","0.41303161170333624","2799","2799","2799"
"28","0.39578425959683955","0.39578425959683955","0.39578425959683955","2899","2899","2899"
"29","0.36968827951699496","0.36968827951699496","0.36968827951699496","2999","2999","2999"
"30","0.3671672672405839","0.3671672672405839","0.3671672672405839","3099","3099","3099"
"31","0.3404804742336273","0.3404804742336273","0.3404804742336273","3199","3199","3199"
"32","0.32484716463834046","0.32484716463834046","0.32484716463834046","3299","3299","3299"
"33","0.3092720052134246","0.3092720052134246","0.3092720052134246","3399","3399","3399"
"34","0.29943339811638","0.29943339811638","0.29943339811638","3499","3499","3499"
"35","0.274346967311576","0.274346967311576","0.274346967311576","3599","3599","3599"
"36","0.26177943058311937","0.26177943058311937","0.26177943058311937","3699","3699","3699"
"37","0.25749058870598673","0.25749058870598673","0.25749058870598673","3799","3799","3799"
"38","0.24285218676552175","0.24285218676552175","0.24285218676552175","3899","3899","3899"
"39","0.2341422593779862","0.2341422593779862","0.2341422593779862","3999","3999","3999"
"40","0.22271951721981167","0.22271951721981167","0.22271951721981167","4099","4099","4099"
"41","0.21442065615206957","0.21442065615206957","0.21442065615206957","4199","4199","4199"
"42","0.2101113210618496","0.2101113210618496","0.2101113210618496","4299","4299","4299"
"43","0.21036159990355371","0.21036159990355371","0.21036159990355371","4399","4399","4399"
"44","0.199857430444099","0.199857430444099","0.199857430444099","4499","4499","4499"
